,Survived,Pclass,Sex,Age,SibSp
378,0,3,True,20,0
379,0,3,True,19,0
380,1,1,False,42,0
381,1,3,False,1,0
382,0,3,True,32,0
383,1,1,False,35,1
385,0,2,True,18,0
386,0,3,True,1,5
387,1,2,False,36,0
389,1,2,False,17,0
390,1,1,True,36,1
391,1,3,True,21,0
392,0,3,True,28,2
393,1,1,False,23,1
394,1,3,False,24,0
395,0,3,True,22,0
396,0,3,False,31,0
397,0,2,True,46,0
398,0,2,True,23,0
399,1,2,False,28,0
400,1,3,True,39,0
401,0,3,True,26,0
402,0,3,False,21,1
403,0,3,True,28,1
404,0,3,False,20,0
405,0,2,True,34,1
406,0,3,True,51,0
407,1,2,True,3,1
408,0,3,True,21,0
412,1,1,False,33,1
414,1,3,True,44,0
416,1,2,False,34,1
417,1,2,False,18,0
418,0,2,True,30,0
419,0,3,False,10,0
421,0,3,True,21,0
422,0,3,True,29,0
423,0,3,False,28,1
424,0,3,True,18,1
426,1,2,False,28,1
427,1,2,False,19,0
429,1,3,True,32,0
430,1,1,True,28,0
432,1,2,False,42,1
433,0,3,True,17,0
434,0,1,True,50,1
435,1,1,False,14,1
436,0,3,False,21,2
437,1,2,False,24,2
438,0,1,True,64,1
439,0,2,True,31,0
440,1,2,False,45,1
441,0,3,True,20,0
442,0,3,True,25,1
443,1,2,False,28,0
445,1,1,True,4,0
446,1,2,False,13,0
447,1,1,True,34,0
448,1,3,False,5,2
449,1,1,True,52,0
450,0,2,True,36,1
452,0,1,True,30,0
453,1,1,True,49,1
455,1,3,True,29,0
456,0,1,True,65,0
458,1,2,False,50,0
460,1,1,True,48,0
461,0,3,True,34,0
462,0,1,True,47,0
463,0,2,True,48,0
465,0,3,True,38,0
467,0,1,True,56,0
471,0,3,True,38,0
472,1,2,False,33,1
473,1,2,False,23,0
474,0,3,False,22,0
476,0,2,True,34,1
477,0,3,True,29,1
478,0,3,True,22,0
479,1,3,False,2,0
480,0,3,True,9,5
482,0,3,True,50,0
483,1,3,False,63,0
484,1,1,True,25,1
486,1,1,False,35,1
487,0,1,True,58,0
488,0,3,True,30,0
489,1,3,True,9,1
491,0,3,True,21,0
492,0,1,True,55,0
493,0,1,True,71,0
494,0,3,True,21,0
496,1,1,False,54,1
498,0,1,False,25,1
499,0,3,True,24,0
0,0,3,True,17,0
1,0,3,False,21,0
3,0,3,False,37,0
4,1,1,False,16,0
5,0,1,True,18,1
