,Survived,Pclass,Sex,Age,SibSp
249,0,2,True,54,1
251,0,3,False,29,1
252,0,1,True,62,0
253,0,3,True,30,1
254,0,3,False,41,0
255,1,3,False,29,0
257,1,1,False,30,0
258,1,1,False,35,0
259,1,2,False,50,0
261,1,3,True,3,4
262,0,1,True,52,1
263,0,1,True,40,0
265,0,2,True,36,0
266,0,3,True,16,4
267,1,3,True,25,1
268,1,1,False,58,0
269,1,1,False,35,0
271,1,3,True,25,0
272,1,2,False,41,0
273,0,1,True,37,0
275,1,1,False,63,1
276,0,3,False,45,0
278,0,3,True,7,4
279,1,3,False,35,1
280,0,3,True,65,0
281,0,3,True,28,0
282,0,3,True,16,0
283,1,3,True,19,0
285,0,3,True,33,0
286,1,3,True,30,0
287,0,3,True,22,0
288,1,2,True,42,0
289,1,3,False,22,0
290,1,1,False,26,0
291,1,1,False,19,1
292,0,2,True,36,0
293,0,3,False,24,0
294,0,3,True,24,0
296,0,3,True,23,0
297,0,1,False,2,1
299,1,1,False,50,0
302,0,3,True,19,0
307,1,1,False,17,1
308,0,2,True,30,1
309,1,1,False,30,0
310,1,1,False,24,0
311,1,1,False,18,2
312,0,2,False,26,1
313,0,3,True,28,0
314,0,2,True,43,1
315,1,3,False,26,0
316,1,2,False,24,1
317,0,2,True,54,0
318,1,1,False,31,0
319,1,1,False,40,1
320,0,3,True,22,0
321,0,3,True,27,0
322,1,2,False,30,0
323,1,2,False,22,1
325,1,1,False,36,0
326,0,3,True,61,0
327,1,2,False,36,0
328,1,3,False,31,1
329,1,1,False,16,0
331,0,1,True,45,0
332,0,1,True,38,0
333,0,3,True,16,2
336,0,1,True,29,1
337,1,1,False,41,0
338,1,3,True,45,0
339,0,1,True,45,0
340,1,2,True,2,1
341,1,1,False,24,3
342,0,2,True,28,0
343,0,2,True,25,0
344,0,2,True,36,0
345,1,2,False,24,0
346,1,2,False,40,0
348,1,3,True,3,1
349,0,3,True,42,0
350,0,3,True,23,0
352,0,3,True,15,1
353,0,3,True,25,1
355,0,3,True,28,0
356,1,1,False,22,0
357,0,2,False,38,0
360,0,3,True,40,1
361,0,2,True,29,1
362,0,3,False,45,0
363,0,3,True,35,0
365,0,3,True,30,0
366,1,1,False,60,1
369,1,1,False,24,0
370,1,1,True,25,1
371,0,3,True,18,1
372,0,3,True,19,0
373,0,1,True,22,0
374,0,3,False,3,3
376,1,3,False,22,0
377,0,1,True,27,0
