,Survived,Pclass,Sex,Age,SibSp
6,1,2,False,33,0
8,0,3,True,28,0
9,1,3,True,26,0
10,1,3,True,29,0
12,1,1,True,36,0
13,1,1,False,54,1
14,0,3,True,24,0
15,0,1,True,47,0
16,1,2,False,34,0
18,1,2,False,36,1
19,0,3,True,32,0
20,1,1,False,30,0
21,0,3,True,22,0
23,1,1,False,44,0
25,0,3,True,40,0
26,1,2,False,50,0
28,0,3,True,39,0
29,0,2,True,23,2
30,1,2,False,2,1
32,0,3,True,17,1
34,0,3,False,30,0
35,1,2,False,7,0
36,0,1,True,45,0
37,1,1,False,30,0
39,1,1,False,22,0
40,1,1,False,36,0
41,0,3,False,9,4
42,0,3,False,11,4
43,1,2,True,32,1
44,0,1,True,50,1
45,0,1,True,64,0
46,1,2,False,19,1
48,0,3,True,33,1
49,1,2,True,8,1
50,1,1,True,17,0
51,0,2,True,27,0
53,1,3,True,22,0
54,1,3,False,22,0
55,0,1,True,62,0
56,1,1,False,48,1
58,1,1,False,39,1
59,1,3,False,36,1
61,0,3,True,40,0
62,0,2,True,28,0
65,0,3,True,24,2
66,0,3,True,19,0
67,0,3,False,29,0
69,1,3,True,32,0
70,1,2,True,62,0
71,1,1,False,53,2
72,1,1,True,36,0
74,0,3,True,16,0
75,0,3,True,19,0
76,1,2,False,34,0
77,1,1,False,39,1
79,1,3,True,32,0
80,1,2,False,25,1
81,1,1,False,39,1
82,0,2,True,54,0
83,0,1,True,36,0
85,1,1,False,18,0
86,0,2,True,47,0
87,1,1,True,60,1
88,0,3,True,22,0
90,0,3,True,35,0
91,1,1,False,52,1
92,0,3,True,47,0
94,0,2,True,37,1
95,0,3,True,36,1
97,0,3,True,49,0
99,1,1,True,49,1
100,1,2,False,24,2
103,0,3,True,44,0
104,1,1,True,35,0
105,0,3,True,36,1
106,0,3,True,30,0
107,1,1,True,27,0
108,1,2,False,22,1
109,1,1,False,40,0
110,0,3,False,39,1
114,0,3,True,35,0
115,1,2,False,24,1
116,0,3,True,34,1
117,0,3,False,26,1
118,1,2,False,4,2
119,0,2,True,26,0
120,0,3,True,27,1
121,1,1,True,42,1
122,1,3,True,20,1
123,0,3,True,21,0
124,0,3,True,21,0
125,0,1,True,61,0
126,0,2,True,57,0
127,1,1,False,21,0
128,0,3,True,26,0
130,1,1,True,80,0
131,0,3,True,51,0
132,1,1,True,32,0
134,0,3,False,9,3
135,1,2,False,28,0
